Kategori,Adi,Sayi,Yuzde
Koruma_Fonksiyonu,46,96,564.71
Koruma_Fonksiyonu,50,690,4058.82
Koruma_Fonksiyonu,67,204,1200.0
Koruma_Fonksiyonu,27,88,517.65
Koruma_Fonksiyonu,51,78,458.82
Koruma_Fonksiyonu,60,44,258.82
Koruma_Fonksiyonu,59,132,776.47
Koruma_Fonksiyonu,59G,40,235.29
Koruma_Fonksiyonu,49F,40,235.29
Koruma_Fonksiyonu,46D,20,117.65
Koruma_Fonksiyonu,50N,40,235.29
Koruma_Fonksiyonu,51N,40,235.29
Koruma_Fonksiyonu,67N,80,470.59
Koruma_Fonksiyonu,67NIEF,40,235.29
Koruma_Fonksiyonu,79,62,364.71
Koruma_Fonksiyonu,68,22,129.41
Cihaz,,12,70.59
Cihaz,H10_FIDER_H,5,29.41
Ariza_Nedeni,,1,5.88
Ariza_Nedeni,Aşırı akım koruması devreye girdi | Az gerilim tespit edildi,6,35.29
Ariza_Nedeni,Yönlü aşırı akım - Muhtemelen hat arızası | Toprak arızası tespit edildi | Aşırı akım koruması devreye girdi | Aşırı gerilim tespit edildi | Az gerilim tespit edildi,10,58.82
